Ad_ID,Campaign_Name,Clicks,Impressions,"Cost,$",Leads,Conversions,Conversion Rate,"Sale_Amount,$",Ad_Date,Location,Device,Keyword
A1036,Corse,146.0,5939.0,242.9,11.0,8.0,5.47945205479452,1833.0,2024-11-07,Rostow-am-Don,desktop,data anaytics training
A1038,Corse,90.0,5786.0,197.55,11.0,6.0,6.666666666666667,1704.0,2024-11-16,Rostow-am-Don,mobile,online data analytic
A1039,Corse,171.0,4304.0,192.61,17.0,10.0,5.847953216374268,1427.0,2024-11-26,Rostow-am-Don,mobile,learn data analytics
A1040,Corse,94.0,5549.0,231.23,25.0,9.0,9.574468085106384,1849.0,2024-11-12,Rostow-am-Don,mobile,data anaytics training
A1041,Corse,112.0,4271.0,196.07,27.0,6.0,5.357142857142857,1209.0,2024-11-14,Rostow-am-Don,desktop,data analitics online
A1042,Corse,113.0,4418.0,191.55,27.0,10.0,8.849557522123893,1634.0,2024-11-09,Rostow-am-Don,mobile,data analytics course
A1043,Corse,145.0,3721.0,180.95,21.0,7.0,4.827586206896552,1960.0,2024-11-29,Rostow-am-Don,desktop,data analitics online
A1044,Corse,197.0,5783.0,204.46,23.0,6.0,3.0456852791878175,1729.0,2024-11-01,Rostow-am-Don,tablet,data anaytics training
A1045,Corse,109.0,4866.0,236.78,27.0,5.0,4.587155963302752,1585.0,2024-11-15,Rostow-am-Don,mobile,online data analytic
A1046,Corse,188.0,5857.0,222.98,20.0,4.0,2.127659574468085,1303.0,2024-11-11,Rostow-am-Don,desktop,data anaytics training
A1047,Corse,142.0,5103.0,234.1,24.0,3.0,2.112676056338028,1835.0,2024-11-08,Rostow-am-Don,mobile,analytics for data
A1048,Corse,168.0,4653.0,240.84,27.0,9.0,5.357142857142857,1367.0,2024-11-24,Rostow-am-Don,mobile,online data analytic
A1049,Corse,110.0,3524.0,248.86,19.0,10.0,9.090909090909092,1524.0,2024-11-21,Rostow-am-Don,mobile,learn data analytics
A1050,Corse,192.0,5938.0,182.84,26.0,5.0,2.604166666666667,1080.0,2024-11-12,Rostow-am-Don,mobile,analytics for data
A1051,Corse,101.0,3942.0,206.62,16.0,5.0,4.9504950495049505,1746.0,2024-11-24,Rostow-am-Don,tablet,analytics for data
A1052,Corse,157.0,3315.0,189.56,15.0,10.0,6.369426751592357,1026.0,2024-11-25,Rostow-am-Don,mobile,online data analytic
A1053,Corse,113.0,4945.0,187.66,15.0,10.0,8.849557522123893,1564.0,2024-11-26,Rostow-am-Don,tablet,learn data analytics
A1054,Corse,96.0,3166.0,196.15,29.0,7.0,7.291666666666667,1902.0,2024-11-26,Rostow-am-Don,desktop,learn data analytics
A1055,Corse,125.0,4223.0,183.68,15.0,6.0,4.8,1267.0,2024-11-05,Rostow-am-Don,desktop,data analitics online
A1056,Corse,104.0,4798.0,210.1,18.0,3.0,2.8846153846153846,1340.0,2024-11-21,Rostow-am-Don,desktop,analytics for data
A1057,Corse,194.0,5655.0,208.58,13.0,6.0,3.0927835051546393,1692.0,2024-11-16,Rostow-am-Don,mobile,data anaytics training
A1058,Corse,144.0,5140.0,219.48,19.0,8.0,5.555555555555555,1054.0,2024-11-18,Rostow-am-Don,desktop,data analitics online
A1060,Corse,166.0,5223.0,189.76,18.0,7.0,4.216867469879518,1219.0,2024-11-16,Rostow-am-Don,tablet,data analytics course
A1062,Corse,118.0,5016.0,204.31,19.0,9.0,7.627118644067797,1833.0,2024-11-08,Rostow-am-Don,desktop,analytics for data
A1063,Corse,185.0,3617.0,222.32,24.0,7.0,3.783783783783784,1963.0,2024-11-23,Rostow-am-Don,mobile,data analytics course
A1064,Corse,116.0,3764.0,232.03,28.0,10.0,8.620689655172415,1348.0,2024-11-20,Rostow-am-Don,tablet,data analytics course
A1065,Corse,99.0,4489.0,183.73,15.0,6.0,6.0606060606060606,1264.0,2024-11-05,Rostow-am-Don,desktop,online data analytic
A1066,Corse,172.0,4441.0,221.18,14.0,8.0,4.651162790697675,1771.0,2024-11-27,Rostow-am-Don,mobile,analytics for data
A1067,Corse,138.0,5751.0,199.11,26.0,9.0,6.521739130434782,1337.0,2024-11-10,Rostow-am-Don,desktop,data analitics online
A1068,Corse,84.0,4036.0,234.22,23.0,10.0,11.904761904761903,1287.0,2024-11-04,Rostow-am-Don,desktop,learn data analytics
A1069,Corse,124.0,4942.0,240.59,18.0,3.0,2.4193548387096775,1922.0,2024-11-16,Rostow-am-Don,desktop,learn data analytics
A1070,Corse,122.0,4989.0,215.48,12.0,5.0,4.098360655737705,1975.0,2024-11-06,Rostow-am-Don,mobile,data analitics online
A1071,Corse,180.0,3006.0,228.14,22.0,7.0,3.888888888888889,1556.0,2024-11-04,Rostow-am-Don,tablet,learn data analytics
A1073,Corse,164.0,3734.0,225.39,27.0,8.0,4.878048780487805,1728.0,2024-11-12,Rostow-am-Don,tablet,learn data analytics
A1074,Corse,150.0,4621.0,246.3,15.0,6.0,4.0,1554.0,2024-11-09,Rostow-am-Don,desktop,data analitics online
A1075,Corse,97.0,3212.0,212.55,27.0,10.0,10.309278350515463,1994.0,2024-11-23,Rostow-am-Don,desktop,analytics for data
A1076,Corse,128.0,4225.0,228.24,30.0,4.0,3.125,1618.0,2024-11-08,Rostow-am-Don,mobile,learn data analytics
A1077,Corse,99.0,4779.0,233.78,26.0,10.0,10.1010101010101,1086.0,2024-11-05,Rostow-am-Don,desktop,online data analytic
A1078,Corse,86.0,5352.0,234.05,11.0,5.0,5.813953488372093,1364.0,2024-11-09,Rostow-am-Don,tablet,online data analytic
A1079,Corse,118.0,5405.0,187.28,25.0,7.0,5.932203389830509,1836.0,2024-11-05,Rostow-am-Don,tablet,analytics for data
A1080,Corse,127.0,5430.0,199.13,14.0,6.0,4.724409448818897,1932.0,2024-11-25,Rostow-am-Don,mobile,analytics for data
A1081,Corse,83.0,4808.0,241.35,20.0,7.0,8.433734939759036,1038.0,2024-11-30,Rostow-am-Don,mobile,learn data analytics
A1083,Corse,168.0,4683.0,215.28,30.0,8.0,4.761904761904762,1327.0,2024-11-28,Rostow-am-Don,mobile,data analitics online
A1084,Corse,112.0,5814.0,227.38,11.0,8.0,7.142857142857142,1467.0,2024-11-03,Rostow-am-Don,tablet,analytics for data
A1085,Corse,123.0,3292.0,233.2,28.0,6.0,4.878048780487805,1174.0,2024-11-19,Rostow-am-Don,desktop,data anaytics training
A1086,Corse,174.0,4305.0,206.02,20.0,3.0,1.7241379310344827,1057.0,2024-11-23,Rostow-am-Don,desktop,learn data analytics
A1088,Corse,195.0,5935.0,209.68,23.0,9.0,4.615384615384616,1966.0,2024-11-07,Rostow-am-Don,tablet,online data analytic
A1089,Corse,176.0,5847.0,241.04,13.0,6.0,3.4090909090909087,1194.0,2024-11-02,Rostow-am-Don,desktop,online data analytic
A1090,Corse,141.0,4851.0,227.39,28.0,5.0,3.546099290780142,1821.0,2024-11-15,Rostow-am-Don,desktop,analytics for data
A1091,Corse,108.0,4710.0,204.16,19.0,10.0,9.25925925925926,1731.0,2024-11-20,Rostow-am-Don,tablet,data analitics online
A1094,Corse,145.0,5004.0,216.45,22.0,5.0,3.4482758620689653,1496.0,2024-11-01,Rostow-am-Don,tablet,data analitics online
A1095,Corse,183.0,3947.0,197.3,15.0,8.0,4.371584699453552,1645.0,2024-11-14,Rostow-am-Don,desktop,data anaytics training
A1096,Corse,113.0,3690.0,229.42,20.0,5.0,4.424778761061947,1915.0,2024-11-28,Rostow-am-Don,tablet,learn data analytics
A1097,Corse,101.0,5943.0,187.32,27.0,6.0,5.9405940594059405,1614.0,2024-11-15,Rostow-am-Don,tablet,data analitics online
A1098,Corse,189.0,5357.0,222.5,24.0,3.0,1.5873015873015872,1839.0,2024-11-25,Rostow-am-Don,tablet,data analytics course
A1099,Corse,154.0,3596.0,236.14,30.0,9.0,5.844155844155844,1036.0,2024-11-06,Rostow-am-Don,tablet,online data analytic
A1100,Corse,179.0,5162.0,246.76,16.0,5.0,2.793296089385475,1052.0,2024-11-29,Rostow-am-Don,desktop,online data analytic
A1101,Corse,148.0,3747.0,244.41,18.0,8.0,5.405405405405405,1092.0,2024-11-17,Rostow-am-Don,tablet,learn data analytics
A1102,Corse,177.0,4822.0,197.03,26.0,9.0,5.084745762711865,1909.0,2024-11-04,Rostow-am-Don,mobile,online data analytic
A1105,Corse,146.0,4765.0,230.22,23.0,5.0,3.4246575342465753,1944.0,2024-11-28,Rostow-am-Don,tablet,analytics for data
A1107,Corse,159.0,5127.0,197.16,21.0,4.0,2.515723270440252,1867.0,2024-11-03,Rostow-am-Don,tablet,learn data analytics
A1108,Corse,144.0,5674.0,235.36,12.0,3.0,2.083333333333333,1505.0,2024-11-22,Rostow-am-Don,desktop,analytics for data
A1109,Corse,122.0,3793.0,237.22,19.0,8.0,6.557377049180328,1842.0,2024-11-20,Rostow-am-Don,tablet,online data analytic
A1110,Corse,112.0,4315.0,235.33,28.0,9.0,8.035714285714286,1116.0,2024-11-08,Rostow-am-Don,mobile,data analytics course
A1111,Corse,174.0,4704.0,192.32,21.0,10.0,5.747126436781609,1501.0,2024-11-24,Rostow-am-Don,mobile,learn data analytics
A1112,Corse,168.0,3349.0,235.6,23.0,9.0,5.357142857142857,1894.0,2024-11-09,Rostow-am-Don,mobile,online data analytic
A1113,Corse,173.0,3501.0,223.9,28.0,10.0,5.780346820809249,1179.0,2024-11-25,Rostow-am-Don,mobile,data analytics course
A1115,Corse,140.0,5405.0,195.69,21.0,8.0,5.714285714285714,1094.0,2024-11-21,Rostow-am-Don,desktop,data anaytics training
A1116,Corse,93.0,3425.0,229.76,26.0,4.0,4.301075268817205,1344.0,2024-11-24,Rostow-am-Don,mobile,online data analytic
A1117,Corse,114.0,5263.0,189.13,23.0,5.0,4.385964912280701,1434.0,2024-11-05,Rostow-am-Don,mobile,data analytics course
A1119,Corse,188.0,3327.0,193.76,24.0,6.0,3.1914893617021276,1220.0,2024-11-03,Rostow-am-Don,tablet,online data analytic
A1121,Corse,113.0,5471.0,215.57,27.0,9.0,7.964601769911504,1123.0,2024-11-23,Rostow-am-Don,mobile,analytics for data
A1122,Corse,109.0,3550.0,240.33,14.0,8.0,7.339449541284404,1982.0,2024-11-24,Rostow-am-Don,tablet,learn data analytics
A1123,Corse,174.0,3178.0,225.67,18.0,10.0,5.747126436781609,1140.0,2024-11-20,Rostow-am-Don,desktop,data analitics online
A1124,Corse,96.0,4673.0,192.88,24.0,5.0,5.208333333333334,1962.0,2024-11-10,Rostow-am-Don,mobile,learn data analytics
A1125,Corse,110.0,4254.0,187.87,11.0,4.0,3.6363636363636362,1172.0,2024-11-04,Rostow-am-Don,mobile,data anaytics training
A1126,Corse,163.0,3658.0,237.63,23.0,7.0,4.294478527607362,1699.0,2024-11-23,Rostow-am-Don,tablet,online data analytic
A1127,Corse,161.0,5319.0,235.98,13.0,4.0,2.484472049689441,1423.0,2024-11-18,Rostow-am-Don,mobile,learn data analytics
A1128,Corse,195.0,5278.0,193.49,30.0,7.0,3.5897435897435894,1456.0,2024-11-04,Rostow-am-Don,mobile,data analytics course
A1129,Corse,84.0,3755.0,218.88,14.0,9.0,10.714285714285714,1299.0,2024-11-05,Rostow-am-Don,tablet,analytics for data
A1130,Corse,113.0,4580.0,194.82,11.0,6.0,5.3097345132743365,1248.0,2024-11-28,Rostow-am-Don,tablet,data analytics course
A1131,Corse,117.0,3809.0,225.14,12.0,5.0,4.273504273504273,1495.0,2024-11-09,Rostow-am-Don,desktop,data anaytics training
A1132,Corse,135.0,5118.0,219.99,27.0,6.0,4.444444444444445,1089.0,2024-11-20,Rostow-am-Don,mobile,online data analytic
A1133,Corse,92.0,5766.0,186.14,28.0,7.0,7.608695652173914,1013.0,2024-11-27,Rostow-am-Don,tablet,data anaytics training
A1135,Corse,101.0,4724.0,228.38,13.0,7.0,6.9306930693069315,1243.0,2024-11-20,Rostow-am-Don,desktop,learn data analytics
A1136,Corse,111.0,5895.0,205.25,29.0,4.0,3.6036036036036037,1693.0,2024-11-04,Rostow-am-Don,mobile,data analytics course
A1138,Corse,99.0,3169.0,237.68,21.0,6.0,6.0606060606060606,1509.0,2024-11-22,Rostow-am-Don,mobile,online data analytic
A1139,Corse,154.0,4535.0,229.29,11.0,3.0,1.948051948051948,1434.0,2024-11-01,Rostow-am-Don,tablet,data anaytics training
A1140,Corse,129.0,3849.0,249.29,22.0,10.0,7.751937984496124,1767.0,2024-11-11,Rostow-am-Don,desktop,analytics for data
A1144,Corse,134.0,3724.0,188.02,26.0,9.0,6.7164179104477615,1891.0,2024-11-07,Rostow-am-Don,desktop,online data analytic
A1145,Corse,174.0,4838.0,242.35,21.0,3.0,1.7241379310344827,1599.0,2024-11-22,Rostow-am-Don,desktop,data analitics online
A1146,Corse,196.0,4524.0,192.01,15.0,8.0,4.081632653061225,1048.0,2024-11-13,Rostow-am-Don,desktop,data analytics course
A1147,Corse,194.0,4694.0,228.15,17.0,7.0,3.608247422680412,1874.0,2024-11-14,Rostow-am-Don,tablet,learn data analytics
A1149,Corse,100.0,4235.0,222.61,10.0,8.0,8.0,1814.0,2024-11-01,Rostow-am-Don,desktop,data anaytics training
A1150,Corse,153.0,4367.0,184.51,29.0,9.0,5.88235294117647,1507.0,2024-11-13,Rostow-am-Don,mobile,analytics for data
A1151,Corse,110.0,3748.0,198.68,24.0,9.0,8.181818181818182,1041.0,2024-11-05,Rostow-am-Don,tablet,data anaytics training
A1153,Corse,156.0,3335.0,236.98,29.0,7.0,4.487179487179487,1143.0,2024-11-14,Rostow-am-Don,desktop,data analytics course
A1154,Corse,177.0,5671.0,210.74,19.0,6.0,3.389830508474576,1172.0,2024-11-25,Rostow-am-Don,tablet,data analytics course
A1155,Corse,89.0,3408.0,214.78,25.0,9.0,10.112359550561797,1898.0,2024-11-15,Rostow-am-Don,mobile,data analytics course
A1156,Corse,155.0,4422.0,183.96,14.0,8.0,5.161290322580645,1143.0,2024-11-15,Rostow-am-Don,mobile,analytics for data
A1157,Corse,123.0,3097.0,190.55,20.0,8.0,6.504065040650407,1640.0,2024-11-22,Rostow-am-Don,tablet,data analytics course
A1158,Corse,102.0,3621.0,244.82,10.0,5.0,4.901960784313726,1375.0,2024-11-12,Rostow-am-Don,mobile,learn data analytics
A1159,Corse,150.0,4806.0,244.53,15.0,9.0,6.0,1602.0,2024-11-07,Rostow-am-Don,mobile,data analitics online
A1161,Corse,143.0,3901.0,191.38,29.0,4.0,2.797202797202797,1786.0,2024-11-24,Rostow-am-Don,mobile,learn data analytics
A1162,Corse,178.0,4673.0,222.46,29.0,6.0,3.3707865168539324,1219.0,2024-11-04,Rostow-am-Don,tablet,online data analytic
A1163,Corse,152.0,3542.0,208.96,13.0,9.0,5.921052631578947,1735.0,2024-11-13,Rostow-am-Don,desktop,data analytics course
A1164,Corse,139.0,4347.0,238.19,26.0,5.0,3.597122302158273,1384.0,2024-11-13,Rostow-am-Don,tablet,analytics for data
A1165,Corse,175.0,5014.0,247.24,25.0,7.0,4.0,1499.0,2024-11-15,Rostow-am-Don,mobile,learn data analytics
A1166,Corse,92.0,4185.0,218.46,21.0,9.0,9.782608695652174,1567.0,2024-11-03,Rostow-am-Don,mobile,data analitics online
A1168,Corse,86.0,5124.0,183.71,13.0,10.0,11.627906976744185,1137.0,2024-11-20,Rostow-am-Don,mobile,data anaytics training
A1169,Corse,117.0,4162.0,238.08,28.0,10.0,8.547008547008547,1186.0,2024-11-22,Rostow-am-Don,mobile,online data analytic
A1170,Corse,146.0,4330.0,191.9,20.0,3.0,2.054794520547945,1748.0,2024-11-09,Rostow-am-Don,mobile,online data analytic
A1172,Corse,195.0,3483.0,213.99,27.0,7.0,3.5897435897435894,1796.0,2024-11-23,Rostow-am-Don,desktop,learn data analytics
A1173,Corse,170.0,4519.0,240.63,22.0,7.0,4.117647058823529,1012.0,2024-11-27,Rostow-am-Don,mobile,analytics for data
A1174,Corse,97.0,3605.0,240.29,21.0,7.0,7.216494845360824,1682.0,2024-11-10,Rostow-am-Don,desktop,data analitics online
A1175,Corse,159.0,5076.0,204.97,15.0,10.0,6.289308176100629,1638.0,2024-11-17,Rostow-am-Don,tablet,data analytics course
A1176,Corse,131.0,5352.0,225.86,24.0,10.0,7.633587786259542,1961.0,2024-11-20,Rostow-am-Don,mobile,online data analytic
A1177,Corse,108.0,5503.0,185.26,11.0,7.0,6.481481481481481,1921.0,2024-11-06,Rostow-am-Don,mobile,data analitics online
A1178,Corse,93.0,4308.0,209.83,19.0,9.0,9.67741935483871,1694.0,2024-11-20,Rostow-am-Don,mobile,data analytics course
A1180,Corse,81.0,5615.0,193.14,30.0,6.0,7.4074074074074066,1255.0,2024-11-28,Rostow-am-Don,mobile,analytics for data
A1181,Corse,160.0,4743.0,206.22,23.0,10.0,6.25,1825.0,2024-11-20,Rostow-am-Don,mobile,learn data analytics
A1182,Corse,186.0,3337.0,183.58,16.0,8.0,4.301075268817205,1045.0,2024-11-30,Rostow-am-Don,desktop,online data analytic
A1183,Corse,105.0,3234.0,238.8,27.0,10.0,9.523809523809524,1248.0,2024-11-06,Rostow-am-Don,desktop,online data analytic
A1184,Corse,131.0,3913.0,203.69,14.0,10.0,7.633587786259542,1079.0,2024-11-25,Rostow-am-Don,desktop,data anaytics training
A1185,Corse,129.0,3208.0,204.2,18.0,8.0,6.2015503875969,1456.0,2024-11-29,Rostow-am-Don,desktop,learn data analytics
A1186,Corse,187.0,5972.0,220.64,30.0,7.0,3.7433155080213902,1980.0,2024-11-14,Rostow-am-Don,desktop,data analytics course
A1187,Corse,167.0,3662.0,235.43,10.0,7.0,4.191616766467066,1684.0,2024-11-25,Rostow-am-Don,mobile,data anaytics training
A1188,Corse,140.0,3359.0,182.13,29.0,7.0,5.0,1973.0,2024-11-28,Rostow-am-Don,desktop,data analitics online
A1189,Corse,198.0,3700.0,220.67,14.0,5.0,2.525252525252525,1531.0,2024-11-10,Rostow-am-Don,mobile,analytics for data
A1190,Corse,196.0,3835.0,218.07,10.0,9.0,4.591836734693878,1871.0,2024-11-04,Rostow-am-Don,tablet,online data analytic
A1191,Corse,140.0,5638.0,208.02,22.0,5.0,3.571428571428571,1652.0,2024-11-18,Rostow-am-Don,desktop,data anaytics training
A1192,Corse,157.0,5825.0,230.6,16.0,3.0,1.910828025477707,1041.0,2024-11-16,Rostow-am-Don,desktop,data anaytics training
A1193,Corse,91.0,5428.0,248.38,11.0,3.0,3.296703296703297,1835.0,2024-11-22,Rostow-am-Don,tablet,learn data analytics
A1194,Corse,140.0,3571.0,238.12,21.0,9.0,6.428571428571428,1762.0,2024-11-16,Rostow-am-Don,desktop,learn data analytics
A1195,Corse,154.0,3638.0,182.17,11.0,8.0,5.194805194805195,1413.0,2024-11-04,Rostow-am-Don,mobile,online data analytic
A1196,Corse,133.0,4505.0,200.52,23.0,3.0,2.2556390977443606,1562.0,2024-11-26,Rostow-am-Don,tablet,analytics for data
A1198,Corse,141.0,3071.0,208.2,10.0,6.0,4.25531914893617,1647.0,2024-11-18,Rostow-am-Don,tablet,data analitics online
A1200,Corse,199.0,5067.0,247.38,24.0,8.0,4.0201005025125625,1365.0,2024-11-19,Rostow-am-Don,mobile,analytics for data
A1201,Corse,138.0,3971.0,184.87,28.0,3.0,2.1739130434782608,1718.0,2024-11-07,Rostow-am-Don,tablet,learn data analytics
A1202,Corse,175.0,4481.0,236.38,21.0,10.0,5.714285714285714,1257.0,2024-11-20,Rostow-am-Don,desktop,data analytics course
A1203,Corse,170.0,5476.0,186.29,25.0,4.0,2.3529411764705883,1731.0,2024-11-08,Rostow-am-Don,mobile,analytics for data
A1204,Corse,138.0,4426.0,203.75,24.0,10.0,7.246376811594203,1838.0,2024-11-05,Rostow-am-Don,mobile,data analytics course
A1205,Corse,108.0,4080.0,247.8,18.0,4.0,3.7037037037037033,1363.0,2024-11-30,Rostow-am-Don,tablet,online data analytic
A1206,Corse,150.0,4113.0,219.67,12.0,7.0,4.666666666666667,1196.0,2024-11-22,Rostow-am-Don,mobile,learn data analytics
A1207,Corse,90.0,5119.0,226.58,14.0,10.0,11.11111111111111,1348.0,2024-11-07,Rostow-am-Don,desktop,analytics for data
A1208,Corse,98.0,3422.0,223.55,17.0,7.0,7.142857142857142,1414.0,2024-11-19,Rostow-am-Don,tablet,online data analytic
A1209,Corse,130.0,3327.0,224.83,13.0,3.0,2.307692307692308,1668.0,2024-11-16,Rostow-am-Don,mobile,online data analytic
A1214,Corse,183.0,4001.0,237.85,23.0,4.0,2.185792349726776,1430.0,2024-11-21,Rostow-am-Don,mobile,online data analytic
A1215,Corse,126.0,4206.0,233.76,29.0,10.0,7.936507936507936,1998.0,2024-11-06,Rostow-am-Don,tablet,online data analytic
A1217,Corse,92.0,4042.0,200.75,15.0,7.0,7.608695652173914,1234.0,2024-11-24,Rostow-am-Don,tablet,learn data analytics
A1219,Corse,92.0,3748.0,208.15,14.0,8.0,8.695652173913043,1297.0,2024-11-02,Rostow-am-Don,desktop,analytics for data
A1220,Corse,135.0,3480.0,224.94,11.0,4.0,2.9629629629629632,1398.0,2024-11-23,Rostow-am-Don,tablet,data analitics online
A1221,Corse,177.0,3007.0,223.22,30.0,8.0,4.519774011299435,1766.0,2024-11-02,Rostow-am-Don,mobile,data analitics online
A1222,Corse,117.0,3380.0,186.73,21.0,10.0,8.547008547008547,1958.0,2024-11-19,Rostow-am-Don,desktop,data anaytics training
A1223,Corse,127.0,4823.0,194.69,11.0,10.0,7.874015748031496,1496.0,2024-11-15,Rostow-am-Don,desktop,data analytics course
A1224,Corse,132.0,4490.0,202.45,10.0,7.0,5.303030303030303,1441.0,2024-11-10,Rostow-am-Don,mobile,data analitics online
A1225,Corse,102.0,5149.0,229.48,27.0,9.0,8.823529411764707,1137.0,2024-11-26,Rostow-am-Don,desktop,learn data analytics
A1226,Corse,91.0,4290.0,213.74,,10.0,10.989010989010989,1797.0,2024-11-16,Rostow-am-Don,mobile,online data analytic
A1227,Corse,163.0,5643.0,217.4,30.0,6.0,3.6809815950920246,1678.0,2024-11-01,Rostow-am-Don,desktop,data analitics online
A1228,Corse,92.0,3916.0,188.1,,6.0,6.521739130434782,1005.0,2024-11-14,Rostow-am-Don,desktop,online data analytic
A1230,Corse,127.0,3344.0,201.7,10.0,8.0,6.299212598425196,1190.0,2024-11-11,Rostow-am-Don,desktop,analytics for data
A1231,Corse,178.0,4441.0,231.97,22.0,4.0,2.247191011235955,1886.0,2024-11-24,Rostow-am-Don,mobile,analytics for data
A1234,Corse,95.0,4562.0,187.62,24.0,9.0,9.473684210526317,1239.0,2024-11-26,Rostow-am-Don,desktop,data anaytics training
A1235,Corse,85.0,5099.0,232.56,28.0,9.0,10.588235294117647,1526.0,2024-11-02,Rostow-am-Don,mobile,data anaytics training
A1236,Corse,192.0,5852.0,181.05,16.0,8.0,4.166666666666666,1600.0,2024-11-21,Rostow-am-Don,desktop,analytics for data
A1237,Corse,80.0,3823.0,181.57,13.0,4.0,5.0,1564.0,2024-11-13,Rostow-am-Don,desktop,online data analytic
A1238,Corse,191.0,4612.0,238.23,20.0,10.0,5.2356020942408374,1531.0,2024-11-01,Rostow-am-Don,mobile,learn data analytics
A1239,Corse,147.0,5881.0,196.34,23.0,7.0,4.761904761904762,1614.0,2024-11-18,Rostow-am-Don,desktop,data anaytics training
A1240,Corse,100.0,5204.0,197.53,26.0,4.0,4.0,1675.0,2024-11-24,Rostow-am-Don,tablet,data analytics course
A1242,Corse,123.0,5231.0,202.93,30.0,10.0,8.130081300813007,1551.0,2024-11-23,Rostow-am-Don,desktop,online data analytic
